ts,open,high,low,close,vol
1736233200,101820.53,102015.01,101771.65,101773.95,185.10868
1736235000,101773.94,101801.6,101640.47,101664.81,340.96924
1736236800,101664.81,101812.29,101618.04,101789.6,248.52967
1736238600,101789.61,101995.64,101783.13,101905.08,207.09207
1736240400,101905.08,101914.11,101736.29,101765.07,167.64352
1736242200,101765.06,101769.93,101632.06,101723.19,322.75921
1736244000,101723.18,101723.19,101379.45,101529.89,502.54666
1736245800,101529.88,101573.94,101391.17,101406.78,213.82231
1736247600,101406.78,101453.0,101300.0,101364.55,313.40411
1736249400,101364.54,101364.55,100472.45,100830.86,1259.07777
1736251200,100830.86,100956.99,100628.43,100635.12,439.8898
1736253000,100635.12,100919.23,100633.61,100750.89,285.20485
1736254800,100750.88,100944.26,100672.53,100939.29,360.4936
1736256600,100939.28,100960.06,100615.63,100636.8,383.55269
1736258400,100636.8,100862.91,100508.19,100759.69,334.37484
1736260200,100759.68,100849.99,99732.0,99979.69,2156.38235
1736262000,99979.69,100142.99,98113.8,98457.16,5165.7219
1736263800,98457.16,98546.55,97153.5,97952.26,3526.40742
1736265600,97952.26,98132.0,97586.41,98013.38,1484.53305
1736267400,98013.37,98347.81,97727.62,97733.58,918.25025
1736269200,97733.58,97806.03,97225.0,97320.81,857.75888
1736271000,97320.8,97571.15,96577.0,97277.31,1527.14586
1736272800,97277.32,97541.6,97013.5,97061.84,718.45776
1736274600,97061.84,97127.75,96600.0,96750.86,832.70093
1736276400,96750.86,97200.01,96708.77,96862.16,596.82761
1736278200,96862.16,96866.81,96323.67,96451.98,885.24271
1736280000,96451.99,96715.18,96181.81,96272.74,791.8398
1736281800,96272.74,96870.52,96191.53,96533.35,1028.63053
1736283600,96533.34,97028.08,96509.21,96920.01,578.61516
1736285400,96920.01,97094.19,96400.0,96501.22,583.33492
1736287200,96501.23,97000.0,96412.0,96921.0,382.10582
1736289000,96921.0,97220.76,96842.03,97164.0,326.60389
1736290800,97163.99,97169.65,96800.8,97066.89,444.40547
1736292600,97066.9,97167.43,96857.64,96954.61,366.33659
1736294400,96954.6,97127.97,96707.77,96928.42,380.76039
1736296200,96928.42,97268.65,96770.95,97268.49,437.06211
1736298000,97268.49,97268.5,96892.31,96978.44,273.3906
1736299800,96978.44,97090.91,96608.14,96907.15,477.65644
1736301600,96907.16,97181.82,96778.57,96979.6,417.77393
1736303400,96979.59,97176.11,96878.14,96878.14,259.49043
1736305200,96878.14,96878.14,96443.88,96612.25,648.80298
1736307000,96612.26,96800.0,96216.83,96525.2,608.91579
1736308800,96525.2,96634.58,96200.4,96500.01,558.58291
1736310600,96500.01,96510.17,96057.48,96274.81,546.5298
1736312400,96274.8,96631.85,96102.94,96620.89,432.27921
1736314200,96620.9,96654.61,96375.76,96492.01,273.58145
1736316000,96492.01,96636.37,96204.9,96204.91,320.50554
1736317800,96204.91,96206.93,95259.3,95284.31,1550.28335
1736319600,95284.31,95706.58,95250.76,95481.5,712.35596
1736321400,95481.5,95815.52,95374.37,95657.09,614.15391
1736323200,95657.09,95976.77,95528.56,95838.06,542.18602
1736325000,95838.07,96132.47,95803.47,95945.99,375.4129
1736326800,95946.0,96098.1,95906.63,95912.72,273.18332
1736328600,95912.72,95919.46,95412.0,95432.82,340.04072
1736330400,95432.83,95879.94,95432.43,95862.26,371.22073
1736332200,95862.27,96000.0,95687.24,95961.02,342.38068
1736334000,95961.03,96052.0,95508.0,95555.3,297.06187
1736335800,95555.31,95587.39,94543.86,95134.92,1538.57807
1736337600,95134.92,95376.56,94944.0,95117.81,541.77566
1736339400,95117.56,95347.38,94852.23,94888.01,506.58535
1736341200,94888.01,95679.69,94888.0,95561.77,754.56393
1736343000,95561.76,95659.98,95147.43,95384.0,523.22293
