ts,oi
1777036500,97104.907
1777037400,97147.011
1777038300,97131.289
1777039200,97261.668
1777040100,96977.261
1777041000,96765.992
1777041900,96913.291
1777042800,96944.601
1777043700,96745.298
1777044600,96789.567
1777045500,96695.368
1777046400,96811.282
1777047300,96772.354
1777048200,96687.882
1777049100,96679.693
1777050000,96780.059
1777050900,96866.707
1777051800,96900.403
1777052700,97115.146
1777053600,97519.048
1777054500,97231.977
1777055400,97156.668
1777056300,96938.773
1777057200,96914.263
1777058100,96894.098
1777059000,96860.278
1777059900,96864.24
1777060800,96843.666
1777061700,96803.337
1777062600,96721.933
1777063500,96744.769
1777064400,96578.127
1777065300,96485.912
1777066200,96446.306
1777067100,96449.523
1777068000,96430.465
1777068900,96529.607
1777069800,96517.576
1777070700,96362.238
1777071600,96356.713
1777072500,96327.771
1777073400,96285.118
1777074300,96206.563
1777075200,96175.274
1777076100,96158.64
1777077000,96221.623
1777077900,96224.617
1777078800,96213.057
1777079700,96187.87
1777080600,96214.779
1777081500,96209.648
1777082400,96241.553
1777083300,96290.573
1777084200,96218.338
1777085100,96156.225
1777086000,96177.086
1777086900,96164.521
1777087800,96172.315
1777088700,96191.215
1777089600,96137.452
1777090500,96127.706
1777091400,96103.286
1777092300,96081.018
1777093200,96102.049
1777094100,96106.585
1777095000,96165.621
1777095900,96196.711
1777096800,96175.153
1777097700,96127.241
1777098600,96134.916
1777099500,96152.518
1777100400,96262.077
1777101300,96245.226
1777102200,96139.138
1777103100,96072.744
1777104000,96248.19
1777104900,96273.527
1777105800,96331.83
1777106700,96220.772
1777107600,96195.809
1777108500,96148.793
1777109400,96143.226
1777110300,96213.661
1777111200,96225.159
1777112100,96247.848
1777113000,96237.167
1777113900,96100.158
1777114800,96105.199
1777115700,96135.716
1777116600,96157.621
1777117500,96203.577
1777118400,96181.008
1777119300,96136.565
1777120200,96107.537
1777121100,95954.497
1777122000,95964.156
1777122900,95977.106
1777123800,95967.42
1777124700,95919.388
1777125600,95863.543
1777126500,95773.265
1777127400,95778.202
1777128300,95796.773
1777129200,95790.597
1777130100,95774.605
1777131000,95788.164
1777131900,95789.959
1777132800,95809.631
1777133700,95865.998
1777134600,95971.937
1777135500,95820.825
1777136400,95851.676
1777137300,95806.588
1777138200,95840.228
1777139100,95837.381
1777140000,95871.35
1777140900,95902.825
